keyword,service_category,service_subcategory,intent,location_tag,luxury_tag,b2b_tag,startup_tag,avg_monthly_searches,competition_index,cpc,ctr,clicks,cost,est_clicks_from_volume,est_spend_at_top_bid,opportunity_score_z
graphic design services company,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
internet marketing design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
marketing in design,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,170.0,15.0,3.045686274509804,0.045,7.649999999999999,23.2995,7.649999999999999,24.2505,1.543314041608931
companies that need rebranding,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,20.0,1.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.53164795651623
media design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,20.0,25.0,3.306666666666667,0.045,0.8999999999999999,2.976,0.8999999999999999,4.464,0.554023412655858
luxury brand advertising agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,30.0,13.0,3.025555555555556,0.045,1.35,4.0845,1.35,5.2515,1.354122745045614
brands that need rebranding,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,50.0,3.0,,0.045,2.25,,2.25,,1.481435551166906
as creative agency,Brand Management,Creative Fulfillment,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
creative content media,Other/Generic,General Branding/Marketing,Low (Informational/Generic),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
creative graphic design company,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
media creative agency,Brand Management,Creative Fulfillment,High (Commercial),,0.0,0.0,0.0,30.0,8.0,2.955555555555555,0.045,1.35,3.989999999999999,1.35,5.129999999999999,1.665495051315615
luxury brand creative agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
rebranding firm,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
high end branding agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,10.0,,0.045,0.45,,0.45,,0.9829480402628124
agency rebrand,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,18.0,,0.045,0.45,,0.45,,0.5149998598187912
brand rebrand,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,20.0,0.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.590141479071733
brand that needs rebranding,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
branding agency luxury,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brands that need a rebrand,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,50.0,3.0,,0.045,2.25,,2.25,,1.481435551166906
brands that need to be rebranded,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,50.0,3.0,,0.045,2.25,,2.25,,1.481435551166906
businesses that need rebranding,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
companies that had to rebrand,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
companies that have rebranded themselves,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
companies that need to rebrand,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,20.0,1.0,,0.045,0.8999999999999999,,0.8999999999999999,,1.53164795651623
companies that rebranded themselves,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
companies who rebranded,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,,,0.045,0.45,,0.45,,0.6687194443917341
creative agency for luxury brands,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
luxury brand ad agencies,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,30.0,13.0,3.025555555555556,0.045,1.35,4.0845,1.35,5.2515,1.354122745045614
luxury brand identity agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
luxury brand marketing firm,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
luxury brand media agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
luxury branding firm,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,170.0,27.0,3.852745098039215,0.045,7.649999999999999,29.4735,7.649999999999999,30.6765,0.6234317753824541
premium brand agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
rebranding a brand,Branding/Rebranding,Rebrand,Low (Informational/Generic),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
recent company rebrands,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
the luxury brand agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,10.0,0.0,,0.045,0.45,,0.45,,1.567883265817839
brand elevation agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,,,,0.045,,,,,0.9986023752778752
,,,,,,,,,,,,,,,,0.0
